year,region_id,voltage_kv,path_id,status,reason,installed_capacity_mva,reported_capacity_mva,storage_modules,storage_power_mw,p_plus_mw,p_minus_mw,clr,positive_capacity_gap_mw,reverse_hosting_gap_mw,annual_capex_wanyuan,annual_in_service_eac_wanyuan,cumulative_capex_wanyuan,cumulative_in_service_eac_wanyuan,complete_path_status,complete_path_reason,baseline_capacity_mva,physical_clr,policy_control_capacity_mva,policy_control_ratio
2023,QX-00003,110,PATH_OPT_CLR_LE_2,feasible,feasible,699.5,632.012524,0.0,0.0,316.006262,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,699.5,2.2135637299491235,632.012524,2.0
2024,QX-00003,110,PATH_OPT_CLR_LE_2,feasible,feasible,699.5,582.420136,0.0,0.0,291.210068,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,699.5,2.402046072115886,582.420136,2.0
2025,QX-00003,110,PATH_OPT_CLR_LE_2,feasible,feasible,699.5,626.06,173.0,17.3,313.03,0.0,2.0,0.0,0.0,3645.6800540000004,604.7015068817583,3645.6800540000004,604.7015068817583,feasible,complete_2022_2025_feasible_path,699.5,2.2346101012682493,626.06,2.0
2022,QX-00004,110,PATH_OPT_CLR_LE_2,feasible,feasible,1885.5,1254.394536,0.0,0.0,627.197268,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1885.5,3.00623120698925,1254.394536,2.0
2023,QX-00004,110,PATH_OPT_CLR_LE_2,feasible,feasible,1885.5,1294.09724,0.0,0.0,647.04862,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1885.5,2.9140004965932853,1294.09724,2.0
2024,QX-00004,110,PATH_OPT_CLR_LE_2,feasible,feasible,1885.5,1266.643894,0.0,0.0,633.321947,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,1885.5,2.977158787772122,1266.643894,2.0
2025,QX-00004,110,PATH_OPT_CLR_LE_2,feasible,feasible,1885.5,1268.56,124.0,12.4,634.28,0.0,2.0,0.0,0.0,2613.760544,433.53912471027945,2613.760544,433.53912471027945,feasible,complete_2022_2025_feasible_path,1885.5,2.972661915873116,1268.56,2.0
2022,QX-00005,110,PATH_OPT_CLR_LE_2,feasible,feasible,2027.0,1650.008386,0.0,0.0,825.004193,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,2027.0,2.456957209670812,1650.008386,2.0
2023,QX-00005,110,PATH_OPT_CLR_LE_2,feasible,feasible,2027.0,1522.463606,0.0,0.0,761.231803,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,2027.0,2.6627894315655647,1522.463606,2.0
2024,QX-00005,110,PATH_OPT_CLR_LE_2,feasible,feasible,2027.0,1725.323074,0.0,0.0,862.661537,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,complete_2022_2025_feasible_path,2027.0,2.3497048530169953,1725.323074,2.0
