time,P,G_i,T2m,WS10m
20050124:0930,0.0,,2.54,3.1
20050124:1030,0.0,,0.51,3.17
20050124:1130,0.0,,-0.98,3.38
20050124:1230,0.0,,-2.11,3.38
20050124:1330,0.0,,-2.83,3.38
20050124:1430,0.0,,-3.27,3.03
20050124:1530,0.0,,-3.41,2.97
20050124:1630,0.0,,-3.53,3.17
20050124:1730,0.0,,-3.4,2.83
20050124:1830,0.0,,-3.38,2.76
20050124:1930,0.0,,-3.46,2.97
20050124:2030,0.0,,-3.55,3.1
20050124:2130,0.0,,-3.61,3.52
20050124:2230,0.0,,-3.74,3.72
20050124:2330,2.86,,-3.88,3.66
20050125:0030,71.24,,-3.83,3.93
20050125:0130,235.26,,-3.26,4.34
20050125:0230,618.54,,-2.46,4.21
20050125:0330,770.27,,-1.14,4.07
20050125:0430,777.85,,-0.14,3.86
20050125:0530,748.49,,0.4,3.72
20050125:0630,618.81,,0.69,3.59
20050125:0730,441.02,,0.49,3.93
20050125:0830,207.33,,-0.3,3.86
20050125:0930,0.0,,-1.46,2.9
20050125:1030,0.0,,-2.97,2.41
20050125:1130,0.0,,-3.84,2.21
20050125:1230,0.0,,-4.49,2.14
20050125:1330,0.0,,-5.11,1.86
20050125:1430,0.0,,-5.73,1.79
20050125:1530,0.0,,-6.19,1.72
20050125:1630,0.0,,-6.66,1.45
20050125:1730,0.0,,-6.54,1.24
20050125:1830,0.0,,-6.41,1.1
20050125:1930,0.0,,-6.87,1.38
20050125:2030,0.0,,-7.18,1.45
20050125:2130,0.0,,-7.3,1.45
20050125:2230,0.0,,-7.03,1.17
20050125:2330,4.03,,-6.9,1.17
20050126:0030,287.05,,-6.56,1.17
20050126:0130,452.92,,-3.68,1.24
20050126:0230,435.56,,-1.62,1.03
20050126:0330,464.31,,0.01,0.55
20050126:0430,366.57,,1.12,0.69
20050126:0530,369.18,,1.57,0.41
20050126:0630,168.73,,2.19,0.83
20050126:0730,98.05,,1.98,0.48
20050126:0830,30.55,,1.76,1.45
20050126:0930,0.0,,0.92,1.24
20050126:1030,0.0,,-0.08,0.76
20050126:1130,0.0,,-0.02,0.55
20050126:1230,0.0,,-0.62,0.62
20050126:1330,0.0,,-0.88,0.48
20050126:1430,0.0,,-1.71,0.83
20050126:1530,0.0,,-1.6,0.62
20050126:1630,0.0,,-1.83,0.69
20050126:1730,0.0,,-1.95,0.62
20050126:1830,0.0,,-2.21,0.62
20050126:1930,0.0,,-1.73,0.34
20050126:2030,0.0,,-1.81,0.41
20050126:2130,0.0,,-1.94,0.55
20050126:2230,0.0,,-2.82,0.97
20050126:2330,4.32,,-3.65,1.1
20050127:0030,276.2,,-2.62,0.62
20050127:0130,495.5,,-0.57,0.41
20050127:0230,646.29,,1.49,0.97
20050127:0330,736.46,,2.96,1.52
20050127:0430,760.04,,4.02,1.72
20050127:0530,717.64,,4.75,1.66
20050127:0630,612.03,,5.17,1.52
20050127:0730,442.83,,5.1,1.52
20050127:0830,213.46,,4.73,1.52
20050127:0930,0.0,,3.61,1.72
20050127:1030,0.0,,1.46,1.86
20050127:1130,0.0,,-0.7,2.0
20050127:1230,0.0,,-1.79,1.86
20050127:1330,0.0,,-1.98,1.66
20050127:1430,0.0,,-2.47,1.72
20050127:1530,0.0,,-3.23,2.07
20050127:1630,0.0,,-3.51,2.21
20050127:1730,0.0,,-3.53,2.21
20050127:1830,0.0,,-3.57,2.07
20050127:1930,0.0,,-3.36,2.28
20050127:2030,0.0,,-3.49,2.41
20050127:2130,0.0,,-3.5,2.62
20050127:2230,0.0,,-3.32,2.76
20050127:2330,4.42,,-3.07,2.9
20050128:0030,270.09,,-2.47,2.69
20050128:0130,489.0,,-0.08,3.45
20050128:0230,671.88,,1.79,4.69
20050128:0330,698.1,,3.48,5.59
20050128:0430,773.45,,4.44,5.31
20050128:0530,607.58,,5.88,5.59
20050128:0630,558.77,,6.15,5.24
20050128:0730,380.64,,5.7,5.24
20050128:0830,143.79,,5.23,4.69
20050128:0930,0.0,,3.98,2.97
20050128:1030,0.0,,2.5,2.21
20050128:1130,0.0,,2.0,1.79
20050128:1230,0.0,,1.5,1.38
20050128:1330,0.0,,1.31,1.24
20050128:1430,0.0,,1.26,1.03
20050128:1530,0.0,,0.88,1.72
20050128:1630,0.0,,1.05,2.69
20050128:1730,0.0,,0.49,4.14
20050128:1830,0.0,,-0.52,4.83
20050128:1930,0.0,,-1.75,5.24
20050128:2030,0.0,,-2.57,5.52
20050128:2130,0.0,,-3.2,5.59
